epoch (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category,set,duration
2019-01-11 15:10:16.350,-0.001,0.8885000000000001,-0.082,-15.8535,21.29575,15.07625,A,bench,heavy,72,16.0
2019-01-11 15:10:16.500,0.0255,0.8055,-0.149,7.607,-12.058,-4.5885,A,bench,heavy,72,16.0
2019-01-11 15:10:16.650,0.0144999999999999,1.018,-0.0535,7.820250000000001,-11.55475,-1.7075,A,bench,heavy,72,16.0
2019-01-11 15:10:16.800,0.0175,0.958,-0.05,5.955333333333333,-5.325,0.1829999999999999,A,bench,heavy,72,16.0
2019-01-11 15:10:16.950,0.019,0.978,-0.0755,1.98175,-1.753,-2.1494999999999997,A,bench,heavy,72,16.0
2019-01-11 15:10:17.100,-0.0025,0.968,-0.1015,6.41775,-2.5460000000000003,-1.18875,A,bench,heavy,72,16.0
2019-01-11 15:10:17.250,-0.0115,0.9495,-0.125,3.87175,-3.04875,-0.4115,A,bench,heavy,72,16.0
2019-01-11 15:10:17.400,-0.022,0.938,-0.13,4.045,-2.9066666666666667,-9.431,A,bench,heavy,72,16.0
2019-01-11 15:10:17.550,-0.03,0.85,-0.1565,12.36275,-7.07325,-14.48175,A,bench,heavy,72,16.0
2019-01-11 15:10:17.700,-0.0605,0.8374999999999999,-0.185,18.018,-9.35975,-20.8385,A,bench,heavy,72,16.0
2019-01-11 15:10:17.850,-0.11,0.8685,-0.2075,14.2835,-2.8965000000000005,-10.01525,A,bench,heavy,72,16.0
2019-01-11 15:10:18.000,-0.13,0.8785000000000001,-0.2055,5.366,-12.703333333333331,11.829333333333333,A,bench,heavy,72,16.0
2019-01-11 15:10:18.150,-0.1355,0.969,-0.198,-19.2835,-13.1405,19.34475,A,bench,heavy,72,16.0
2019-01-11 15:10:18.300,-0.151,1.3995000000000002,-0.134,-11.20425,-8.7955,-1.8600000000000003,A,bench,heavy,72,16.0
2019-01-11 15:10:18.450,-0.156,1.1535,-0.124,8.26225,11.57,-20.8385,A,bench,heavy,72,16.0
2019-01-11 15:10:18.600,-0.167,0.861,-0.138,-2.215333333333333,8.475666666666667,-16.971666666666668,A,bench,heavy,72,16.0
2019-01-11 15:10:18.750,-0.1915,0.898,-0.1935,-11.189,7.606999999999999,-9.2075,A,bench,heavy,72,16.0
2019-01-11 15:10:18.900,-0.188,0.915,-0.1775,6.02125,3.3385,2.97275,A,bench,heavy,72,16.0
2019-01-11 15:10:19.050,-0.1775,0.928,-0.1535,2.13425,-3.26225,6.98175,A,bench,heavy,72,16.0
2019-01-11 15:10:19.200,-0.185,0.96,-0.155,0.4469999999999998,0.0003333333333334,5.121666666666667,A,bench,heavy,72,16.0
2019-01-11 15:10:19.350,-0.1835,0.957,-0.1435,1.6922500000000005,-4.9695,10.869,A,bench,heavy,72,16.0
2019-01-11 15:10:19.500,-0.1589999999999999,0.9885,-0.125,-13.42975,-0.076,12.97275,A,bench,heavy,72,16.0
2019-01-11 15:10:19.650,-0.1005,0.9865,-0.109,-23.99375,9.66475,30.549,A,bench,heavy,72,16.0
2019-01-11 15:10:19.800,-0.039,0.902,-0.001,-7.703333333333333,26.910666666666668,23.333333333333332,A,bench,heavy,72,16.0
2019-01-11 15:10:19.950,0.026,0.735,-0.1455,13.5825,-17.103749999999998,1.997,A,bench,heavy,72,16.0
2019-01-11 15:10:20.100,0.0085,1.046,-0.062,5.625,-7.195,0.1219999999999998,A,bench,heavy,72,16.0
2019-01-11 15:10:20.250,0.002,0.933,-0.1125,2.8507499999999997,-3.64325,-1.93625,A,bench,heavy,72,16.0
2019-01-11 15:10:20.400,-0.0025,0.9775,-0.1075,3.943333333333334,-5.081333333333333,-0.8533333333333334,A,bench,heavy,72,16.0
2019-01-11 15:10:20.550,-0.004,0.9655,-0.0925,2.85075,-4.51225,-3.0490000000000004,A,bench,heavy,72,16.0
2019-01-11 15:10:20.700,-0.017,0.96,-0.1125,3.948,-2.98775,-4.20725,A,bench,heavy,72,16.0
2019-01-11 15:10:20.850,-0.0295,0.8434999999999999,-0.152,13.49075,-6.7835,-14.52725,A,bench,heavy,72,16.0
2019-01-11 15:10:21.000,-0.063,0.854,-0.206,16.971666666666668,-8.760333333333334,-18.882,A,bench,heavy,72,16.0
2019-01-11 15:10:21.150,-0.1015,0.852,-0.1995,14.93875,-4.98475,-16.524250000000002,A,bench,heavy,72,16.0
2019-01-11 15:10:21.300,-0.1315,0.878,-0.2314999999999999,9.10025,-11.509,-7.515499999999999,A,bench,heavy,72,16.0
